ParentElement;Name;Source;Target;NoDirectional;ShortName;CurrentNotes;URL;Orientation;Description;Alignment;Width;Height;Space;FixedSize;Hide;HideText;HideImportState;ShowBorder;Picture;Shape;RGBBackground;RGBForeground;IsAdjacent;AdjacenedNode;Info;ChildrenInLine;ChildrenInLineImportState;ChildrenInLineDescription;ChildrenInLineDuringReduction;ChildrenInLineDescriptionDuringReduction;LineBreak;UseShortName;HighLevelContent;TechnicalID;LogicalSize;FillLine;BreakLine;SuperType;SourceMany;TargetMany;BoxViewElementList;AbstractionLevel;OnlyVisual;LogicalName;Lines;FontFactor;ComponentReferenceIdent;PathReferenceIdent;DataAssociationByAttributes;SchemaFromValues;IsColored;Bold;MetaComponent;ShapeX;ShapeY;ShapeWidth;ShapeHeight;LabelVerticalAlignment;StartFilter;ContainsFilter;EndFilter
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryMessage;;;;retryMessage;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryMessage;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryMessage/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryMessage/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryMessage;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryMessage/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryMessage/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/skipMessage;;;;skipMessage;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/skipMessage;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/skipMessage/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/skipMessage/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/skipMessage;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/skipMessage/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/skipMessage/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessages;;;;retryRetryableErrorMessages;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessages;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessages/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessages/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessages;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessages/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;MessagingToolsAPI.wsdl;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessages/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType;/pc1000/MessagingToolsAPI.wsdl/MessagingToolsAPIPortType/retryRetryableErrorMessagesForCategory;;;;retryRetryableErrorMessagesForCategory;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
