"Attribute";"Description";"MetaComponent";"LogicalPath";"Infrastructure";"DataType";"Values";"Entity";"Length";"Precision";"Scale";"Format";"Multiplicity";"MinValue";"MaxValue";"PhysicalAttribute";"BusinessObjectDependency";"BusinessObjectAttributeDependency";"Remark";"RequirementId";"Component";"Physical";"PhysicalEntity";"URL";"Discriminator";"BusinessObject";"BusinessFunction";"BusinessProcess";"Technology";"BusinessContact";"TechnologyContact";"ImplicitImport";"IsBusinessObjectAttribute";"BusinessObjectAttributeMapping";"BusinessObjectAttributeMappingDiscriminator";"BusinessObjectMapping";"BusinessObjectMappingDiscriminator";"NameInBusinessLanguage";"ConstantValue";"MetaType";"GUIName";"GUIType";"Namespace";"Nullable"
"TrainingClassType";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-Driver/TrainingClassType";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"NumberofViolations";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-Driver/NumberofViolations";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"DateCompletedTrainingClass";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-Driver/DateCompletedTrainingClass";"";"dateTime";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"YearLicensed";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-Driver/YearLicensed";"";"int";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"GoodDriverDiscount";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-Driver/GoodDriverDiscount";"";"boolean";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"NumberofAccidents";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-Driver/NumberofAccidents";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"Student";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-Driver/Student";"";"boolean";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"entity-NamedInsured";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-NamedInsured";"";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-NamedInsured";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Complex";"";"";"http://guidewire.com/pc/gx/gw.webservice.pc.pc1000.gxmodel.accountcontactrolemodel";""
"IndustryCode";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-NamedInsured/IndustryCode";"";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-NamedInsured/IndustryCode";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Complex";"";"";"http://guidewire.com/pc/gx/gw.webservice.pc.pc1000.gxmodel.accountcontactrolemodel";""
"Code";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-NamedInsured/IndustryCode/Code";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"BusOpsDescription";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/AdditionalInsureds/Entry/AccountContactRole/entity-NamedInsured/BusOpsDescription";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
